
age,height,income,status_after_a_month
35,70,80000,1
23,71,20000,1
28,72,40000,0
40,71,60000,1
22,65,20000,1
35,73,150000,1
21,71,20000,1
34,69,100000,1
29,67,40000,1
25,78,80000,1
41,69,1000000,1
39,70,100000,1
21,72,500000,1
21,70,1000000,0
27,68,150000,1
27,68,150000,1
50,73,80000,1
59,73,80000,1
24,67,60000,1
50,66,80000,0
29,72,250000,1
27,74,30000,1
37,79,50000,1
42,71,150000,1
33,70,1000000,1
29,70,60000,1
33,68,80000,0
35,67,30000,1
30,69,60000,1
29,80,80000,1
28,73,30000,1
39,72,50000,1
36,67,80000,1
39,69,80000,1
47,69,50000,0
26,76,20000,0
28,73,80000,1
42,75,20000,1
32,68,60000,1
45,68,80000,1
45,66,100000,1
22,70,40000,1
32,74,20000,1
32,72,30000,1
34,73,70000,1
48,69,70000,1
35,71,50000,0
32,72,40000,1
31,74,40000,1
45,70,100000,1
37,76,20000,1
29,71,30000,1
30,70,60000,1
25,72,150000,1
30,72,50000,1
31,65,20000,1
47,76,60000,1
44,72,100000,1
33,70,100000,1
35,73,100000,1
25,70,250000,1
23,72,20000,1
59,64,60000,1
